CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,Shape_area,Shape_Length,Shape,longitude,latitude
Residential,1,QPK,QUEENS PARK VILLAGE,CENTRE,ESTABLISHED,1950s,1572877.6718750,5365.421798,Polygon,-114.0776072,51.0851471296665
Residential,1,RAM,RAMSAY,CENTRE,ESTABLISHED,INNER CITY,2486118.1953130,7447.371025,Polygon,-114.0438717,51.0359430826064
Residential,1,RAN,RANCHLANDS,NORTHWEST,ESTABLISHED,1960s/1970s,5951499.6093750,10464.16574,Polygon,-114.1836043,51.1191837963959
Residential,1,RCK,ROSSCARROCK,WEST,ESTABLISHED,1950s,2683740.3046880,6993.580012,Polygon,-114.1454879,51.0432923316378
Residential,1,RDL,ROSEDALE,CENTRE,ESTABLISHED,INNER CITY,1684863.7343750,5911.982851,Polygon,-114.0782092,51.0626871975332
Residential,1,RED,RED CARPET,EAST,ESTABLISHED,1960s/1970s,1364408.8281250,5646.512731,Polygon,-113.9427024,51.0401991290999
Residential,1,REN,RENFREW,CENTRE,ESTABLISHED,INNER CITY,6727466.1171880,12644.39605,Polygon,-114.0391687,51.0596516133007
Residential,1,RIC,RICHMOND,CENTRE,ESTABLISHED,1950s,4812147.4687500,10786.33924,Polygon,-114.1184223,51.0297103092823
Residential,1,RID,RIDEAU PARK,CENTRE,ESTABLISHED,INNER CITY,674298.6093750,3601.273013,Polygon,-114.0741506,51.0250007658603
Residential,1,RIV,RIVERBEND,SOUTHEAST,ESTABLISHED,1980s/1990s,10281309.8281250,14544.14246,Polygon,-114.0184317,50.9760191184155
Residential,1,RMT,ROSEMONT,CENTRE,ESTABLISHED,1950s,1138083.4375000,4466.792332,Polygon,-114.0897692,51.0775741601521
Residential,1,ROC,ROCKY RIDGE,NORTHWEST,COMPLETE,2000s,7126461.6406250,11200.77632,Polygon,-114.2458946,51.1465036891512
Residential,1,ROX,ROXBORO,CENTRE,ESTABLISHED,INNER CITY,686189.7656250,3706.129339,Polygon,-114.0676198,51.0263370063138
Residential,1,ROY,ROYAL OAK,NORTHWEST,COMPLETE,2010s,9039290.6640630,12264.33959,Polygon,-114.2197437,51.1426698229267
Residential,1,RSN,REDSTONE,NORTHEAST,DEVELOPING,2000s,4960940.3437500,9174.664655,Polygon,-113.9575038,51.1704465108345
Residential,1,RUN,RUNDLE,NORTHEAST,ESTABLISHED,1960s/1970s,6682440.2343750,10339.69718,Polygon,-113.9700581,51.0742405593869
Residential,1,RUT,RUTLAND PARK,WEST,ESTABLISHED,1950s,1718871.4765630,6873.300203,Polygon,-114.1335507,51.0218743411509
Residential,1,RVW,RANGEVIEW,SOUTHEAST,DEVELOPING,2000s,12132665.5156250,14730.32726,Polygon,-113.9237269,50.8740203739924
Industrial,2,RYV,ROYAL VISTA,NORTHWEST,N/A,,3330965.8750000,9094.13298,Polygon,-114.204195,51.1494318860330
Industrial,2,S23,SECTION 23,SOUTHEAST,N/A,EMPLOYMENT,7849366.6640630,13338.53067,Polygon,-113.9481399,50.9709290302015
Residential,1,SAD,SADDLE RIDGE,NORTHEAST,DEVELOPING,2000s,14189631.6875000,17465.11936,Polygon,-113.9456226,51.1305800978341
Residential,1,SAN,SANDSTONE VALLEY,NORTH,ESTABLISHED,1980s/1990s,4567478.7500000,8705.887198,Polygon,-114.0949561,51.1377367559846
Industrial,2,SAW,SOUTH AIRWAYS,NORTHEAST,N/A,EMPLOYMENT,4786771.3984380,12759.25359,Polygon,-114.0178584,51.0782336672494
Residential,1,SCA,SCARBORO,CENTRE,ESTABLISHED,INNER CITY,1146156.3671880,4860.366271,Polygon,-114.1071836,51.0407659087461
Residential,1,SCE,SCENIC ACRES,NORTHWEST,ESTABLISHED,1980s/1990s,11102776.0000000,17416.80429,Polygon,-114.2173617,51.1127265151315
Residential,1,SDC,SUNDANCE,SOUTH,ESTABLISHED,1980s/1990s,10098303.3437500,14380.23824,Polygon,-114.0420638,50.9016424534237
Residential,1,SET,SETON,SOUTHEAST,DEVELOPING,2000s,11481590.8984380,13582.71689,Polygon,-113.9474373,50.8737173093560
Industrial,2,SFH,SOUTH FOOTHILLS,SOUTHEAST,N/A,EMPLOYMENT,9166681.1093750,12455.79193,Polygon,-113.9736755,50.9712465779859
Residential,1,SGH,SAGE HILL,NORTH,DEVELOPING,BUILDING OUT,9457572.7109380,13348.2507,Polygon,-114.1406832,51.1756112700288
Industrial,2,SGL,STONEGATE LANDING,NORTHEAST,N/A,EMPLOYMENT,13804046.8203130,16134.32508,Polygon,-113.9866817,51.1644703850525
Residential,1,SHG,SHAGANAPPI,CENTRE,ESTABLISHED,1950s,3738832.6875000,9139.199464,Polygon,-114.1266676,51.0452185774013
Industrial,2,SHI,SHEPARD INDUSTRIAL,SOUTHEAST,N/A,EMPLOYMENT,10624318.6796880,15714.24003,Polygon,-113.9927843,50.9614906721057
Residential,1,SHN,SHAWNESSY,SOUTH,ESTABLISHED,1980s/1990s,9187123.2031250,15633.69058,Polygon,-114.0739761,50.9033801618780
Residential,1,SHS,SHAWNEE SLOPES,SOUTH,ESTABLISHED,1980s/1990s,3121133.3125000,9127.111009,Polygon,-114.0858094,50.9261878952827
Residential,1,SHW,SHERWOOD,NORTH,COMPLETE,2010s,6077449.4375000,10309.77053,Polygon,-114.1531413,51.1602534634802
Residential,1,SIG,SIGNAL HILL,WEST,ESTABLISHED,1980s/1990s,14027717.5703130,16957.64853,Polygon,-114.1799079,51.0232616695796
Residential,1,SIL,SILVER SPRINGS,NORTHWEST,ESTABLISHED,1960s/1970s,12613336.0937500,16018.97241,Polygon,-114.1950231,51.1077705574640
Industrial,2,SKE,SKYLINE EAST,NORTHEAST,N/A,EMPLOYMENT,1369630.2890630,5789.321224,Polygon,-114.0389293,51.1001526269935
Residential,1,SKR,SKYVIEW RANCH,NORTHEAST,DEVELOPING,2000s,5865790.1093750,11665.44593,Polygon,-113.9583746,51.1561260801993
Industrial,2,SKW,SKYLINE WEST,NORTH,N/A,EMPLOYMENT,2092854.8828130,7522.138602,Polygon,-114.0474087,51.1033321934876
Residential,1,SNA,SUNALTA,CENTRE,ESTABLISHED,INNER CITY,2377216.1640630,7439.32851,Polygon,-114.1014744,51.0429579019141
Residential,1,SOC,SOUTH CALGARY,CENTRE,ESTABLISHED,INNER CITY,2235792.3125000,7718.366608,Polygon,-114.1020747,51.0268079644174
Residential,1,SOM,SOMERSET,SOUTH,ESTABLISHED,1980s/1990s,5886842.7578130,10923.94756,Polygon,-114.0813761,50.8989066515736
Residential,1,SOV,SOUTHVIEW,EAST,ESTABLISHED,1950s,4020242.6171880,9269.906343,Polygon,-113.9973389,51.0341525692987
Residential,1,SOW,SOUTHWOOD,SOUTH,ESTABLISHED,1960s/1970s,6699186.4609380,10444.92262,Polygon,-114.0831769,50.9577592570982
Residential,1,SPH,SPRINGBANK HILL,WEST,DEVELOPING,BUILDING OUT,15993397.2890630,16579.31937,Polygon,-114.2098071,51.0265738264527
Residential,1,SPR,SPRUCE CLIFF,WEST,ESTABLISHED,1950s,2737845.3593750,7515.21807,Polygon,-114.1364707,51.0483252834470
Industrial,2,SRI,SADDLE RIDGE INDUSTRIAL,NORTHEAST,N/A,EMPLOYMENT,6436642.2734380,12513.93526,Polygon,-113.9757288,51.1251895987234
Residential,1,SSD,SUNNYSIDE,CENTRE,ESTABLISHED,INNER CITY,2584274.9687500,9303.8564,Polygon,-114.0790194,51.0564197370308
Residential,1,SSW,SCARBORO/ SUNALTA WEST,CENTRE,ESTABLISHED,1950s,891095.2343750,4183.520713,Polygon,-114.1148848,51.0422010793826
Industrial,2,ST1,STONEY 1,NORTH,N/A,EMPLOYMENT,15840140.6640630,22915.75218,Polygon,-114.024717,51.1611837974108
Industrial,2,ST2,STONEY 2,NORTHEAST,N/A,EMPLOYMENT,10012083.3437500,17005.98314,Polygon,-114.0172184,51.1433867646185
Industrial,2,ST3,STONEY 3,NORTHEAST,N/A,EMPLOYMENT,3341488.3828130,7751.687337,Polygon,-113.9758389,51.1470328356804
Industrial,2,ST4,STONEY 4,NORTHEAST,N/A,EMPLOYMENT,11014339.8203130,25591.28935,Polygon,-114.0027616,51.1762044869323
Residential,1,STA,ST. ANDREWS HEIGHTS,CENTRE,ESTABLISHED,1950s,2934657.0390630,7843.58803,Polygon,-114.1274265,51.0639106571022
Industrial,2,STD,STARFIELD,EAST,N/A,EMPLOYMENT,10582817.4375000,13389.29576,Polygon,-113.9400156,51.0048574640738
Residential,1,STR,STRATHCONA PARK,WEST,ESTABLISHED,1980s/1990s,6790080.5468750,14505.29656,Polygon,-114.1775624,51.0050166195247
Industrial,2,SUN,SUNRIDGE,NORTHEAST,N/A,EMPLOYMENT,5722017.3593750,9593.336079,Polygon,-113.9917015,51.0742233501057
Residential,1,SVO,SILVERADO,SOUTH,DEVELOPING,BUILDING OUT,14579100.2968750,16286.04819,Polygon,-114.0713012,50.8829897566662
Residential,1,SVR,SYMONS VALLEY RANCH,NORTH,DEVELOPING,2000s,379737.9062500,2840.30139,Polygon,-114.1380773,51.1847992531711
Residential,1,TAR,TARADALE,NORTHEAST,COMPLETE,2000s,7208546.3750000,10899.21614,Polygon,-113.934002,51.1179408168818
Residential,1,TEM,TEMPLE,NORTHEAST,ESTABLISHED,1960s/1970s,6644998.0703130,10336.79807,Polygon,-113.9467677,51.0887951436987
